家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先
7.3,98293987,2022年12月06日,2022年12月20日,福岡市中央区平尾１丁目１３－８  mapを見る,エスティメゾン薬院  1103,福岡市七隈線薬院駅 徒歩6分 新川町バス停 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩6分 駅までmap ,32.83㎡ / 約9.93坪,,1LDK,ＬＤＫ9.3／洋4.9, 北東,,,,空有　2万2000円,,　,,2万円,無,無,,無,,無,3000円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上15階建,11階部分,2006[H18]年2月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 防犯カメラ　,,駐車場の空きについては要確認,専任媒介,,"
"
3.5,99309668,2022年12月06日,2022年12月20日,福岡市博多区祇園町6-33  周辺mapを見る,鬼鞍ビル  205,福岡市空港線祇園駅 徒歩7分 福岡市空港線中洲川端駅 徒歩9分 鹿児島本線博多駅 徒歩12分 ,21.91㎡ / 約6.63坪,,1K,洋 6　K 2,,,,,無,,　,,,無,1ヶ月,,無,,無,1000円,200円,有 全保連株式会社【保証料：月額総賃料の１００％】※契約者や条件によっては、内容が変更になる場合があります。,,有、15000円、2年、借家人賠償付火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,11000円 ,消毒代：1万1000円エアコンクリーニング代：1万1000円,,くらしーど２４：880円 / 月,,2年,,巡回,,ＲＣ,,,地上3階建,2階部分,1979[S54]年12月,空家,即時　,都市ガス　 エアコン　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 ガスコンロ設置可　 洗面所　 洗面台　 フローリング　 バルコニー　,,瞬間湯沸し器有り浴槽取替（追い焚き機能、シャワー付き）ました。,専任媒介,,"
"
3,99219335,2022年12月05日,2022年12月19日,福岡市南区向野１丁目4-10  mapを見る,小田ビル  ,西鉄天神大牟田線大橋駅 徒歩10分 駅までmap 西鉄天神大牟田線高宮駅 徒歩14分 駅までmap 鹿児島本線竹下駅 徒歩15分 駅までmap ,壁芯18.25㎡ / 約5.52坪,,ワンルーム,,,,福岡市立玉川小学校　距離211ｍ,福岡市立春吉中学校　距離612ｍ,無,,　,,,無,1ヶ月,,無,,無,5000円,無,,,有※契約者や条件によっては、内容が変更になる場合があります。,,ハウスクリーニング：3万円,,水町費：3000円 / 月,,2年,,,,ＲＣ,,,地上4階建,2階部分,1993[H5]年12月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 システムキッチン　 冷蔵庫　 ＩＨクッキングヒーター　 フローリング　 照明器具付き　 全居室フローリング　,ペット不可　 角部屋　 高齢者相談　,,一般媒介,,"
"
3.3,99287276,2022年12月05日,2022年12月19日,福岡市博多区諸岡３丁目34-9  mapを見る,M’sコート（エムズコート）  103,西鉄天神大牟田線井尻駅 徒歩11分 駅までmap 鹿児島本線笹原駅 徒歩12分 駅までmap 鹿児島本線竹下駅 徒歩23分 駅までmap ,壁芯26.09㎡ / 約7.89坪,,1K,洋8, 南東,,,,無,,　,,,無,無,実費,無,,2000円,無,無,有 オリコフォレントインシュア（否決の場合はジェイリース、日本セーフティーなど）※契約者や条件によっては、内容が変更になる場合があります。,"初回保証委託料:15,000円、継続保証委託料:10,000円/1年、保証振替手数料:605円",有、月払いの保険になります（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,鍵交換代：1万6500円室内消毒代：1万4300円,,住宅保険料：1000円 / 月安心サポート：880円 / 月町費：200円 / 月,,2年,,,,鉄骨造,,,地上3階建,1階部分,1998[H10]年7月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 ２口コンロ　 全居室フローリング　 シューズボックス　,ペット不可　 角部屋　,※短期解約違約金：1年未満の解約は家賃2ヶ月分、2年未満は1ヶ月分※精算方法：故意過失による汚損破損は実費,一般媒介,,"
"
3.7,99276774,2022年12月05日,2022年12月19日,福岡市中央区草香江１丁目6番3号  mapを見る,ヴィスティー大濠  105号,福岡市七隈線六本松駅 徒歩5分 駅までmap 草香江バス停 徒歩2分 ,27㎡ / 約8.17坪,,1K,洋8.3／ロフト3,,,,,無,,　,,,無,2ヶ月,実費,無,,無,無,無,有 日本賃貸保証※契約者や条件によっては、内容が変更になる場合があります。,,有、2年※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,木造,,,地上2階建,1階部分,1997[H9]年3月,空家,即時　,プロパンガス　 エアコン　 給湯　 バス・トイレ別　 シャワー　 室内洗濯機置場　 ロフト　 フローリング　 シャッター(雨戸）　 全居室フローリング　,閑静住宅街　 角部屋　,・ロフト付♪・天神、博多にもアクセス便利♪,専任媒介,,"
"
3.7,99313731,2022年12月05日,2022年12月19日,福岡市城南区七隈７丁目11-10  mapを見る,ピアレス福大西  205,福岡市七隈線七隈駅 徒歩6分 駅までmap 福岡市七隈線福大前駅 徒歩8分 駅までmap 福岡市七隈線梅林駅 徒歩14分 駅までmap ,25.55㎡ / 約7.73坪,,ワンルーム,洋9, 西,,,,空無　4400円,自走（平置きも含む）,【 屋根状況　屋根なし 】　,軽のみ,,無,1ヶ月,,無,,無,3000円,無,有 要加入※契約者や条件によっては、内容が変更になる場合があります。,,有、16000円、2年、火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,,鍵交換代：1万6500円室内消毒代（任意）：1万1000円,,24時間緊急サポート：800円 / 月,,2年,,巡回,,ＲＣ,,,地上4階建,2階部分,1991[H3]年1月,空家,相談　,プロパンガス　 エアコン　 バス・トイレ別　 収納スペース　 ガスコンロ設置可　 バルコニー　 駐輪場　 バイク置場(屋外）　 バイク駐輪場（大型可）　 インターネット対応　,ペット不可　 閑静住宅街　,"・インターネットは1棟で最大1ギガです。・短期解約違約金（1年未満：賃料２ヶ月、2年未満：賃料1ヶ月）・24時間緊急サポート料：月額800円・鍵交換代：15,000円（税別）・室内消毒代（任意）：10,000円（税別）・火災保険料：16,000円/2年・保証会社：要加入・更新事務手数料：10,000円（税別）/2年※当マンションは現在福大生限定マンションですが、2027年4月以降からはその限定が解除される予定です。",専任媒介,,"
"
6.9,97590262,2022年12月06日,2022年12月20日,福岡市博多区比恵町５－３３  mapを見る,博多御笠川レジデンス  802,福岡市空港線東比恵駅 徒歩2分 駅までmap 鹿児島本線博多駅 徒歩13分 駅までmap 福岡市空港線博多駅 徒歩13分 駅までmap ,32.1㎡ / 約9.71坪,,1LDK,洋3.2／ＬＤＫ9.2, 西,,,,空無,,　,,,無,1ヶ月 / 6.9万円,,無,,無,5000円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上10階建,8階部分,2005[H17]年3月,空家,相談　2022年10月11日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 ガスコンロ設置可　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 独立洗面脱衣所　,,東比恵駅　徒歩2分の１ＬＤＫ！目の前には公園、裏手には川が流れる立地にあります！24時間スーパー、コンビニも徒歩圏内にございます！駐車場の空きについては要確認,専任媒介,,"
"
4.7,99314872,2022年12月05日,2022年12月19日,福岡市東区和白４丁目11-7  mapを見る,ブライトリー和白  203,西日本鉄道貝塚線和白駅 徒歩7分 駅までmap 香椎線和白駅 徒歩8分 駅までmap 西日本鉄道貝塚線唐の原駅 徒歩8分 駅までmap ,壁芯32.51㎡ / 約9.83坪,,1DK,ＤＫ／洋,,,,,空有　6600円,,　,,,無,1ヶ月 / 4.7万円,実費,無,,無,3000円,無,有 ジェイリース(アプラス)※契約者や条件によっては、内容が変更になる場合があります。,月額賃料合計の初回保証料50％　月次保証料1％　年間委託料1万円,有、17000円、2年、あそしあ少額短期保険(推奨)（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,鍵交換代：1万9800円室内抗菌代：1万3200円,,水道代：3000円 / 月町内会費：150円 / 月くらしーど24：880円 / 月請求事務手数料：220円 / 月,,2年,,巡回,,ＲＣ,,,地上6階建,2階部分,2000[H12]年7月,居住中,相談　（12/25退去予定）,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 ガスコンロ設置可　 洗面所　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 全居室フローリング　 敷地内ゴミ置き場　,ペット相談可　 猫可　,"契約期間：2年更新事務手数料：11,000円（税込）短期解約違約金1年未満家賃2ヵ月・2年未満1ヵ月退去精算方法：故意・過失実費精算解約予告：30日前・ペット飼育　可　(礼金+1ヶ月　犬or猫1匹まで)・自転車駐輪　可・バイク駐輪　可・都市ガス※間取、設備、方位などは必ず現地をご確認下さい。現況優先となります。",代理,濱﨑,"
										TEL：092-781-7755
"
3,99290984,2022年12月06日,2022年12月20日,福岡市東区原田１丁目16-51  周辺mapを見る,グリーンピア原田 ,鹿児島本線箱崎駅 徒歩11分 ,22㎡ / 約6.66坪,,1K,洋 8　K 4,,,,,無,,　,,,無,無,,無,,無,,2700円,,,有※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上4階建,3階部分,1986[S61]年4月,空家,即時　,プロパンガス　 エアコン　 バス・トイレ別　 シャワー　 駐輪場　,閑静住宅街　,,専任媒介,,"
"
24,99292073,2022年12月05日,2022年12月19日,福岡市中央区大名２丁目1-43  mapを見る,東洋マンション大名  601,西鉄天神大牟田線西鉄福岡（天神）駅 徒歩8分 駅までmap 福岡市空港線赤坂駅 徒歩7分 駅までmap ,壁芯78.19㎡ / 約23.65坪,,2LDK,ＬＤＫ／洋／洋,,,福岡市立舞鶴小学校　距離800ｍ,福岡市立舞鶴中学校　距離809ｍ,無,,　,,,2ヶ月 / 48万円,2ヶ月 / 48万円,敷引 1ヶ月24万円 ,無,,無,,無,有 全保連株式会社（賃料口座引落330円／月）※契約者や条件によっては、内容が変更になる場合があります。,賃料の50％または100％,有、9000円、1年（例）※契約者や条件によっては、内容が変更になる場合があります。,,,,,,2年,,,,ＳＲＣ,,,地上8階建,6階部分,1979[S54]年5月,空家,相談　,バス・トイレ別　 収納スペース　 システムキッチン　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　,ペット不可　 事務所使用可　,令和4年10月リノベーション完了！事務所使用可火災保険・保証会社要加入鍵交換16500円　事務手数料11000円,専任媒介,,"
"
4.4,99298914,2022年12月06日,2022年12月20日,福岡市南区平和１丁目25-13  mapを見る,Ｉｔ’ｓ平和東  102,西鉄天神大牟田線西鉄平尾駅 徒歩19分 駅までmap 西鉄天神大牟田線高宮駅 徒歩25分 駅までmap 福岡市七隈線薬院大通駅 徒歩27分 駅までmap 西鉄バス平和2丁目停徒歩3分,47.2㎡ / 約14.28坪,,2LDK,, 東,,,,空無,,　,,,1ヶ月,1ヶ月,,無,,無,,無,,,有、21500円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,駐輪代：100円オゾン消毒費：1万8000円,,,,2年,,,,木造,,,地上2階建,1階部分,1989[H1]年9月,空家,相談　,プロパンガス　 バス・トイレ別　 カウンターキッチン　 フローリング　 駐輪場　 出窓　,角部屋　,,代理,,"
"
8.5,99307785,2022年12月05日,2022年12月19日,福岡市博多区那珂４丁目26-34  mapを見る,HIBISCUS T・H  305,鹿児島本線竹下駅 徒歩19分 駅までmap 鹿児島本線笹原駅 徒歩20分 駅までmap 西鉄天神大牟田線井尻駅 徒歩21分 駅までmap ,67.92㎡ / 約20.55坪,,3LDK,ＬＤＫ13／和6／洋6／洋5.5,無 南西,,,,空有　9000円,,　,,,無,2ヶ月,,無,,無,5000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,限り全額：1万6500円,,町費：500円 / 月シード24：840円 / 月口座振替手数料：400円 / 月共益費：5000円 / 月,,2年,,巡回,,ＲＣ,,,地上8階建,3階部分,1999[H11]年12月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 温水洗浄便座　 収納スペース　 システムキッチン　 ガスコンロ設置可　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 防犯カメラ　 火災報知機　 浴室に窓　 和室有　 シューズボックス　 ３口コンロ以上　 敷地内ゴミ置き場　,二人入居可　 日当り良好　 外観タイル張り　 子供可　,退去時クリーニング：55000円(税別,代理,,"
"
3.5,98014853,2022年12月05日,2022年12月19日,福岡市南区塩原４丁目１６－９  mapを見る,グロワール大橋  302,西鉄天神大牟田線大橋駅 徒歩7分 大橋団地前バス停 徒歩3分 駅までmap 鹿児島本線竹下駅 徒歩16分 駅までmap ,17.29㎡ / 約5.23坪,,1K,Ｋ2／洋5.5, 南東,,,,無,,　,,,無,無,,無,,無,3000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上5階建,3階部分,1993[H5]年6月,空家,相談　,電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 洗面台　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　,,,専任媒介,,"
"
4.2,99201760,2022年12月06日,2022年12月20日,福岡市西区姪浜駅南４丁目8-4  mapを見る,キャンサー  105,福岡市空港線姪浜駅 徒歩6分 駅までmap 福岡市空港線室見駅 徒歩14分 駅までmap 福岡市空港線藤崎駅 徒歩24分 駅までmap ,20.01㎡ / 約6.05坪,,1K,洋室約6帖+ロフト約4.4帖,,,,,無,,　,,,無,無,,無,,無,3000円,無,無,,有、18000円、2年、エポス少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,11000円 ,カギ交換費用（契約時）：1万6500円,,町内会費（月額）：500円 / 月FUSOサポート24（月額）：880円 / 月,,2年,,,,木造,,,地上2階建,1階部分,2006[H18]年7月,空家,即時　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 温水洗浄便座　 洗面台　 室内洗濯機置場　 ロフト　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 ブロードバンド　,角部屋　,NET無料!角部屋・ガステーブル(二個口)・ 洗面台(独立)・バス・トイレ別・洗濯機置場(室内)・エアコン・温水洗浄便座・ロフト・付(4.4帖)・シューズボックス・ インターホン(カメラ付き) / ネット無料♪姪浜駅5分!ロフト4.4帖!独立洗面台!　温水洗浄便座新設!!,代理,,"
"
2.5,99166784,2022年12月06日,2022年12月20日,福岡市中央区地行３丁目27-15  周辺mapを見る,ベストハイム地行  103,福岡市空港線唐人町駅 徒歩12分 領事館前バス停 徒歩3分 福岡市空港線西新駅 徒歩14分 ,20㎡ / 約6.05坪,,ワンルーム,洋 7,,,,,無,,　,,,無,1ヶ月,,無,,無,2000円,300円,,,有、15000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,定期借家,2年,,巡回,,木造,,,地上2階建,1階部分,1987[S62]年4月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 ロフト　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　,閑静住宅街　,西新エリア近くロフト付きロフトです付！閑静な住宅街。シャワールーム完備（Ｈ２８．１月改築）室内フロアータイル貼り替え済み,専任媒介,,"
										TEL：092-801-7007
"
6.4,99252819,2022年12月06日,2022年12月20日,福岡市南区大橋２丁目19-10  mapを見る,アルファレガロ大橋  402,西鉄天神大牟田線大橋駅 徒歩6分 駅までmap 西鉄天神大牟田線高宮駅 徒歩24分 駅までmap 西鉄天神大牟田線井尻駅 徒歩20分 駅までmap 西鉄大橋駅（西鉄バス）徒歩6分,25.51㎡ / 約7.72坪,,1K,洋7, 東,,,,空有　1万5000円,,　,,,1ヶ月,1ヶ月,,無,,5000円,,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,抗菌処理費：1万4000円,,,,2年,,,,ＲＣ,,,地上12階建,4階部分,2022[R4]年7月（新築）,空家,相談　,都市ガス　 エアコン　 追焚機能　 バス・トイレ別　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　,日当り良好　,,貸主,,"
"
3.9,99242160,2022年12月06日,2022年12月20日,福岡市早良区野芥２丁目３－３０  mapを見る,ＫＳ１野芥  203,福岡市七隈線野芥駅 徒歩4分 野芥１丁目バス停 徒歩3分 駅までmap 福岡市七隈線賀茂駅 徒歩10分 駅までmap ,23.18㎡ / 約7.01坪,,1K,洋6.9, 南,,,,空有　5500円,,　,,,無,2ヶ月 / 7.8万円,,無,,無,3500円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,木造,,,地上2階建,2階部分,2005[H17]年6月,空家,相談　2022年8月9日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 トイレ　 バス・トイレ別　 ＣＡＴＶ　 室内洗濯機置場　 フローリング　 バルコニー　 駐輪場　 インターネット使い放題　,ペット相談可　 南向き　,洗濯物もラクラク干せるバルコニー付き。南向きで日当たり良好。嬉しい室内洗濯機置き場。駐車場の空きについては要確認,専任媒介,,"
"
5.2,99258397,2022年12月05日,2022年12月19日,福岡市博多区築港本町5-15  mapを見る,ピュアドームベイサイド博多  602,福岡市空港線天神駅 徒歩15分 駅までmap 福岡市箱崎線中洲川端駅 徒歩15分 駅までmap 福岡市空港線中洲川端駅 徒歩15分 駅までmap ,壁芯24.91㎡ / 約7.54坪,,1K,, 4.95㎡,,福岡市立博多小学校　距離905ｍ,福岡市立博多中学校　距離389ｍ,空有,機械,　,,,無,無,実費,無,,無,4500円,無,"有 全保連（初回保証料50％(継続保証料10,000円/年)）※契約者や条件によっては、内容が変更になる場合があります。",,有、15000円、2年、賃貸住宅居住者総合保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上12階建,6階部分,2005[H17]年11月,空家,相談　,都市ガス　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 洗面所　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ２口コンロ　 全居室フローリング　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　,"初期費用火災保険 2年 15,000円～※金額につきましてはお問い合わせ下さい。入居時事務手数料有り鍵交換代 22,000円更新事務手数料 16,500円/2年間退去時クリーニング代　家賃等月額合計の1か月分+税故意過失等による汚損破損等は実費精算違約金　1年未満/家賃等月額合計の2ヶ月分　　　　1年以上2年未満/家賃等月額合計の1ヶ月分※エアコン・ウォシュレット・照明が設置されている場合はサービス設置品となります。※水町費月額2,800円は管理組合より直接請求となります。※駐車場空き有り　契約方法は入居者と管理組合で直接契約となります。　月額12,000円(機械式)、敷金2ヶ月が必要となります。",代理,,"
"
5.4,99309502,2022年12月05日,2022年12月19日,福岡市東区和白３丁目24-10  mapを見る,アップテッセ  103,香椎線和白駅 徒歩4分 駅までmap 西日本鉄道貝塚線和白駅 徒歩5分 駅までmap 西日本鉄道貝塚線唐の原駅 徒歩17分 駅までmap ,内法35.1㎡ / 約10.62坪,,1LDK,ＬＤＫ10.2／洋3.8,,,,,無,,　,,,無,1ヶ月,実費,無,,無,3000円,無,有 アップフォワード※契約者や条件によっては、内容が変更になる場合があります。,初回保証料60%,有、18000円、2年、日本共済（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,,,２４時間サポート：660円 / 月町費：200円 / 月,,2年,,巡回,,木造,,,地上3階建,1階部分,2022[R4]年7月（新築）,空家,即時　,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 システムキッチン　 浴室乾燥機　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 シャッター(雨戸）　 全居室フローリング　 インターネット対応　 敷地内ゴミ置き場　,角部屋　,"※物件のお問い合わせは下記担当者携帯までご連絡下さい。FAX番号:(092)707-7099入居時消毒代16,500円（税込）退去時クリーニング代　49,500円（税込）短期解約違約金　1年未満1ヶ月",貸主,松森,"
										TEL：080-8592-6749
"
3.2,98995523,2022年12月05日,2022年12月19日,福岡市早良区祖原28-10  mapを見る,クリスタル祖原  103,福岡市空港線西新駅 徒歩8分 駅までmap 福岡市空港線藤崎駅 徒歩10分 駅までmap 福岡市七隈線別府駅 徒歩19分 駅までmap ,20㎡ / 約6.05坪,,1DK,洋6,無,,,,無,,　,,,無,無,,無,,無,2000円,無,有 確認ください（全保連　月額合計100％ジェイリース　月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,,水町費：3000円 / 月シード24：840円 / 月口座振替料：400円 / 月共益費：2000円 / 月,,1年,,巡回,,ＲＣ,,,地上4階建,1階部分,1985[S60]年3月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 洗濯機置場　 フローリング　 ＴＶモニタ付きインターホン　 押入れ　,,退去時クリーニング：32000円,代理,,"
"
6,99312576,2022年12月05日,2022年12月18日,福岡市南区井尻５丁目24-15  周辺mapを見る,野上ビル ,西鉄天神大牟田線井尻駅 徒歩4分 ,57㎡ / 約17.24坪,,2DK,洋 8･6,,,,,空有　5000円,,　,,,無,2ヶ月,,無,,無,無,無,,,有、2年※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上5階建,3階部分,1978[S53]年10月,空家,相談　,給湯　 バス・トイレ別　 シャワー　 ガスコンロ設置可　 洗面台　 室内洗濯機置場　 フローリング　 ルーフバルコニー　 ２面バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 駐輪場　 防犯カメラ　 火災報知機　,二人入居可　 角部屋　,内装リフォーム済み駅近くアクセス良し！,一般媒介,,"
"
4.2,99294322,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目12-8  mapを見る,エステート・モア平尾 ,西鉄天神大牟田線西鉄平尾駅 徒歩6分 駅までmap 福岡市七隈線渡辺通駅 徒歩12分 駅までmap 西鉄天神大牟田線高宮駅 徒歩13分 駅までmap ,25.96㎡ / 約7.85坪,,1K,, 4.98㎡,,,,無,,　,,,無,無,,無,,無,3000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティー：月額合計80％～100）※契約者や条件によっては、内容が変更になる場合があります。,,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万9800円,,共益費：3000円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,,1年,,,,ＲＣ,,,地上8階建,6階部分,1989[H1]年7月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ＩＨクッキングヒーター　 洗面所　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 オール電化　,分譲タイプ　 角部屋　,退去時クリーニング：42000円,代理,,"
"
4.1,99219512,2022年12月05日,2022年12月19日,福岡市南区大橋２丁目21-5  mapを見る,リンピアル大橋  401,西鉄天神大牟田線大橋駅 徒歩7分 駅までmap 東大橋バス停 徒歩4分 ,19.95㎡ / 約6.03坪,,1K,洋7.4,,,,,無,,　,,,無,2ヶ月,実費,無,,無,無,無,有 JID※契約者や条件によっては、内容が変更になる場合があります。,,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,水町費：3000円 / 月,,2年,,,,ＲＣ,,,地上6階建,4階部分,1995[H7]年11月,空家,即時　,都市ガス　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　,ペット不可　 外観タイル張り　,バイク駐輪不可。ヨーロピアンなオシャレな外観♪お部屋により床・壁クロスのデザインが異なります。西鉄電車が特急も停車するようになり、ますます便利になりました。,専任媒介,,"
"
3.6,99318665,2022年12月05日,2022年12月19日,福岡市南区三宅１丁目15-16  mapを見る,クレセント大橋Ⅱ  203,西鉄天神大牟田線大橋駅 徒歩15分 駅までmap ,壁芯19.84㎡ / 約6.00坪,,ワンルーム,洋8, 南東 2.83㎡,,,,空無,,　,,,無,1ヶ月 / 3.6万円,実費,無,,無,無,300円,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,100％,有、15000円、2年、賃貸総合（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,木造,,,地上2階建,2階部分,1994[H6]年1月,空家,即時　,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 バルコニー　 駐輪場　 バイク置場(屋外）　 バイク駐輪場（大型可）　 インターネット使い放題　,ペット不可　 日当り良好　 閑静住宅街　,インターネット無料,専任媒介,,"
"
7.9,99257394,2022年12月06日,2022年12月20日,福岡市南区野多目１丁目1-13  mapを見る,フローラ野多目  202,西鉄天神大牟田線井尻駅 徒歩27分 駅までmap 西鉄天神大牟田線大橋駅 徒歩23分 駅までmap 博多南線博多南駅 徒歩39分 駅までmap 向新町バス停/徒歩1分,66㎡ / 約19.97坪,,3LDK,その他12.5／洋6／洋6／和6, 東,,,,空無,,　,,,無,2ヶ月,,無,,5500円,,無,,,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,オゾン消毒費：1万8000円,,,,2年,,,,ＲＣ,,,地上5階建地下4階建,2階部分,1997[H9]年9月,空家,相談　,都市ガス　 バス・トイレ別　 洗面所　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 駐輪場　,二人入居可　 閑静住宅街　 角部屋　,,代理,,"
"
