家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
8.2,98490710,2022年12月06日,2022年12月20日,福岡市中央区平尾１丁目１３－８  mapを見る,エスティメゾン薬院  906,福岡市七隈線薬院駅 徒歩6分 新川町バス停 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩6分 駅までmap ,37.73㎡ / 約11.41坪,nan,2DK,ＤＫ5.9／洋5.2／洋4.8, 北東,nan,nan,nan,空有　2万2000円,nan,　,nan,2万円,無,無,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上15階建,9階部分,2006[H18]年2月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 独立洗面脱衣所　 防犯カメラ　,nan,薬院駅まで徒歩圏内?薬院周辺でお部屋探しをされるかたにはとてもオススメです?是非一度ご内覧ください^^駐車場の空きについては要確認,専任媒介,nan,"
",中央
4.5,99257876,2022年12月06日,2022年12月14日,福岡市中央区今川１丁目1-19  mapを見る,メゾン・ド・唐人  303,福岡市空港線唐人町駅 徒歩2分 駅までmap 福岡市空港線大濠公園駅 徒歩15分 駅までmap 唐人町バス停 徒歩4分 ,21.3㎡ / 約6.44坪,nan,1K,洋6, 南西 2.7㎡,nan,福岡市立南当仁小学校　距離666ｍ,福岡市立当仁中学校　距離1349ｍ,空無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 保証会社利用必須（オリコフォレントインシュア、学生入居の場合はGAF）※契約者や条件によっては、内容が変更になる場合があります。,初回保証料：なし　月額保証料:月額総賃料2.5％,有、16000円、2年、全管協少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料20000円 ,鍵交換代：1万9800円清掃代※入居時請求：4万9500円,nan,町費：300円 / 月住まいの安心窓口：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上9階建,3階部分,1998[H10]年1月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 室内洗濯機置場　 フローリング　 ディンプルキー　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 全居室フローリング　 インターネット対応　 ＣＡＴＶインターネット　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 角部屋　,バストイレ別、温水洗浄暖房便座、室内洗濯機置場、クローゼット、エアコン、ＴＶモニターホン、角部屋、オートロック、宅配ボックスあり,専任媒介,明和不動産管理,"
										TEL：092-401-3311
",中央
2.8,99318697,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目6-23  mapを見る,ストゥーディオ南天神  409,西鉄天神大牟田線西鉄平尾駅 徒歩10分 駅までmap 福岡市七隈線渡辺通駅 徒歩13分 駅までmap 西鉄天神大牟田線薬院駅 徒歩14分 駅までmap ,壁芯19.8㎡ / 約5.99坪,nan,1K,nan, 南東,nan,福岡市立高宮小学校　距離545ｍ,福岡市立高宮中学校　距離967ｍ,無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 Casa※契約者や条件によっては、内容が変更になる場合があります。,50%,有、18000円、2年、フレックス少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,水道料：3000円 / 月,nan,1年,nan,nan,nan,鉄骨造,nan,nan,地上6階建,4階部分,1987[S62]年4月,空家,相談　,冷房　 暖房　 エアコン　 給湯　 トイレ　 シャワー　 洗面台　 洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 バイク置場(屋外）　,ペット不可　 外観タイル張り　 保証人不要　,現状優先,代理,nan,"
",中央
2.6,99166786,2022年12月06日,2022年12月20日,福岡市中央区地行３丁目27-15  周辺mapを見る,ベストハイム地行  203,福岡市空港線唐人町駅 徒歩12分 領事館前バス停 徒歩3分 福岡市空港線西新駅 徒歩14分 ,20㎡ / 約6.05坪,nan,ワンルーム,洋 7,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,2000円,300円,有 全保連・ジェイリース・セブン保証のいずれか当社指定※契約者や条件によっては、内容が変更になる場合があります。,nan,有、15000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,定期借家,2年,nan,巡回,nan,木造,nan,nan,地上2階建,2階部分,1987[S62]年4月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 ロフト　 フローリング　 バルコニー　,閑静住宅街　,西新エリア近くロフト付きロフトです付！閑静な住宅街。,専任媒介,nan,"
										TEL：092-801-7007
",中央
7.9,99144451,2022年12月06日,2022年12月20日,福岡市中央区長浜３丁目１７－１０  周辺mapを見る,ＨＦ大濠レジデンスＢＡＹＳＩＤＥ  206,福岡市空港線大濠公園駅 徒歩11分 福岡市空港線赤坂駅 徒歩14分 ,40.04㎡ / 約12.11坪,nan,1DK,ＤＫ7／洋7.2, 北東,nan,nan,nan,空有　1万3200円,nan,　,nan,1万2000円,1ヶ月 / 7.9万円,無,nan,無,nan,無,5000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上9階建,2階部分,2007[H19]年11月,空家,相談　2022年11月30日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,博多や天神に乗り換えなしで行くことができる地下鉄空港線　大濠公園駅まで徒歩11分です！海の近くを散歩するのも心が癒されてよさそうですね！！！駐車場の空きについては要確認,専任媒介,nan,"
",中央
8.4,98968965,2022年12月06日,2022年12月20日,福岡市中央区警固１丁目１５－５１  周辺mapを見る,Ｒｉｃｈ　Ｓｔａｇｅ　上人橋  1003,福岡市七隈線薬院大通駅 徒歩8分 西鉄天神大牟田線薬院駅 徒歩12分 福岡市空港線天神駅 徒歩14分 ,33㎡ / 約9.98坪,nan,1K,Ｋ2／洋12, 東,nan,nan,nan,空無,nan,　,nan,nan,無,2ヶ月 / 16.8万円,nan,無,nan,無,5200円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上11階建,10階部分,2012[H24]年8月,空家,相談　2022年11月10日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ウォークインクローゼット　 システムキッチン　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 防犯カメラ　,デザイナーズ　,天神まで歩いてすぐの物件です。おしゃれな室内です。お気軽にお問い合わせください。駐車場の空きについては要確認,専任媒介,nan,"
",中央
7.3,98293987,2022年12月06日,2022年12月20日,福岡市中央区平尾１丁目１３－８  mapを見る,エスティメゾン薬院  1103,福岡市七隈線薬院駅 徒歩6分 新川町バス停 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩6分 駅までmap ,32.83㎡ / 約9.93坪,nan,1LDK,ＬＤＫ9.3／洋4.9, 北東,nan,nan,nan,空有　2万2000円,nan,　,nan,2万円,無,無,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上15階建,11階部分,2006[H18]年2月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 防犯カメラ　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",中央
3.7,99276774,2022年12月05日,2022年12月19日,福岡市中央区草香江１丁目6番3号  mapを見る,ヴィスティー大濠  105号,福岡市七隈線六本松駅 徒歩5分 駅までmap 草香江バス停 徒歩2分 ,27㎡ / 約8.17坪,nan,1K,洋8.3／ロフト3,nan,nan,nan,nan,無,nan,　,nan,nan,無,2ヶ月,実費,無,nan,無,無,無,有 日本賃貸保証※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,1997[H9]年3月,空家,即時　,プロパンガス　 エアコン　 給湯　 バス・トイレ別　 シャワー　 室内洗濯機置場　 ロフト　 フローリング　 シャッター(雨戸）　 全居室フローリング　,閑静住宅街　 角部屋　,・ロフト付♪・天神、博多にもアクセス便利♪,専任媒介,nan,"
",中央
24.0,99292073,2022年12月05日,2022年12月19日,福岡市中央区大名２丁目1-43  mapを見る,東洋マンション大名  601,西鉄天神大牟田線西鉄福岡（天神）駅 徒歩8分 駅までmap 福岡市空港線赤坂駅 徒歩7分 駅までmap ,壁芯78.19㎡ / 約23.65坪,nan,2LDK,ＬＤＫ／洋／洋,nan,nan,福岡市立舞鶴小学校　距離800ｍ,福岡市立舞鶴中学校　距離809ｍ,無,nan,　,nan,nan,2ヶ月 / 48万円,2ヶ月 / 48万円,敷引 1ヶ月24万円 ,無,nan,無,nan,無,有 全保連株式会社（賃料口座引落330円／月）※契約者や条件によっては、内容が変更になる場合があります。,賃料の50％または100％,有、9000円、1年（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上8階建,6階部分,1979[S54]年5月,空家,相談　,バス・トイレ別　 収納スペース　 システムキッチン　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　,ペット不可　 事務所使用可　,令和4年10月リノベーション完了！事務所使用可火災保険・保証会社要加入鍵交換16500円　事務手数料11000円,専任媒介,nan,"
",中央
2.5,99166784,2022年12月06日,2022年12月20日,福岡市中央区地行３丁目27-15  周辺mapを見る,ベストハイム地行  103,福岡市空港線唐人町駅 徒歩12分 領事館前バス停 徒歩3分 福岡市空港線西新駅 徒歩14分 ,20㎡ / 約6.05坪,nan,ワンルーム,洋 7,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,2000円,300円,nan,nan,有、15000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,定期借家,2年,nan,巡回,nan,木造,nan,nan,地上2階建,1階部分,1987[S62]年4月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 ロフト　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　,閑静住宅街　,西新エリア近くロフト付きロフトです付！閑静な住宅街。シャワールーム完備（Ｈ２８．１月改築）室内フロアータイル貼り替え済み,専任媒介,nan,"
										TEL：092-801-7007
",中央
4.2,99294322,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目12-8  mapを見る,エステート・モア平尾 ,西鉄天神大牟田線西鉄平尾駅 徒歩6分 駅までmap 福岡市七隈線渡辺通駅 徒歩12分 駅までmap 西鉄天神大牟田線高宮駅 徒歩13分 駅までmap ,25.96㎡ / 約7.85坪,nan,1K,nan, 4.98㎡,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティー：月額合計80％～100）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万9800円,nan,共益費：3000円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上8階建,6階部分,1989[H1]年7月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ＩＨクッキングヒーター　 洗面所　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 オール電化　,分譲タイプ　 角部屋　,退去時クリーニング：42000円,代理,nan,"
",中央
4.5,99289191,2022年12月05日,2022年12月19日,福岡市中央区薬院３丁目16-34  mapを見る,ヤマトビル  503,西鉄天神大牟田線薬院駅 徒歩3分 駅までmap 福岡市七隈線薬院大通駅 徒歩3分 駅までmap 薬院大通りバス停 徒歩3分 ,38㎡ / 約11.50坪,nan,2LDK,洋6／洋6／ＬＤＫ8,無,nan,nan,nan,無,nan,　,nan,nan,無,2ヶ月,実費,無,nan,無,nan,無,有 日本セーフティー保証（学生一律1万円　更新料1万円/年）※契約者や条件によっては、内容が変更になる場合があります。,保証人あり22500円　保証人なし27000円　更新料1万円/年,有、17000円、2年、お部屋の保険ワイド（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換：1万6500円,nan,保証会社更新料：1万円 / 年,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,5階部分,1985[S60]年4月,空家,即時　,都市ガス　 追焚機能　 トイレ　 バス・トイレ別　 収納スペース　 ガスコンロ設置可　 フローリング　 押入れ　,ペット不可　,買物・交通に大変便利。薬院駅まで3分！西鉄薬院駅まで徒歩３分、地下鉄薬院大通駅まで徒歩２分　買物にも大変便利な街です　設備が古い分、お値打ちの家賃設定となっています（シャワーの水圧が弱かったり、４・５階は勾配や圧力の関係で浴室排水がスムーズにいかないことがあります。）3号タイプの4・5階は、左側洋室にもう一つ収納があり、ＬＤＫも少し広くなります。,専任媒介,nan,"
",中央
3.0,99318757,2022年12月06日,2022年12月20日,福岡市中央区六本松３丁目10-8  mapを見る,サンシャイン六本松  107,福岡市七隈線六本松駅 徒歩7分 駅までmap 福岡市七隈線桜坂駅 徒歩8分 駅までmap 福岡市空港線大濠公園駅 徒歩23分 駅までmap ,壁芯18㎡ / 約5.45坪,nan,ワンルーム,nan,nan,nan,nan,nan,空無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 日本セーフティー（月保証料800円、年間更新料無）※契約者や条件によっては、内容が変更になる場合があります。,家賃総額50％～,有、17000円、2年、エイワン少短（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,鍵交換代：1万6500円エイコン洗浄（1台）：1万1000円室内消毒（任意）：1万4300円,nan,定額水道代：2500円 / 月町費：500円 / 月安心サポート：880円 / 月,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上3階建,1階部分,1988[S63]年5月,空家,相談　,エアコン　 トイレ　 シャワー　 インターネット使い放題　 インターネット対応　,閑静住宅街　 保証人不要　,nan,代理,孫,"
										TEL：092-406-9073
",中央
7.0,99287186,2022年12月06日,2022年12月20日,福岡市中央区薬院３丁目4-23  mapを見る,サンロージュ薬院駅前  1006,西鉄天神大牟田線薬院駅 徒歩3分 駅までmap 福岡市七隈線薬院駅 徒歩3分 駅までmap ,30㎡ / 約9.08坪,nan,1LDK,nan, 南東,nan,nan,nan,空有,nan,　,nan,nan,無,2ヶ月,nan,無,nan,3000円,nan,無,有 ジェイリース 初回、賃料等の50％　年間更新料1.5万円　 月額保証料1、000円(24H駆付け+口座振替料)※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年※契約者や条件によっては、内容が変更になる場合があります。,11000円 ,町内会費：200円契約事務手数料（契約時）：1万1000円カギ交換費用（契約時）：2万7500円更新事務手数料（更新時）：1万1000円水廻り消毒料（契約時）：1万5000円,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上14階建,10階部分,2004[H16]年8月,空家,即時　,プロパンガス　 電気　 上水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 カウンターキッチン　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 独立洗面脱衣所　,ペット相談可　 猫可　 二人入居可　 日当り良好　,駐車場：機械式駐車場サイズ制限があるので個別にお問合せ下さい。,専任媒介,nan,"
",中央
7.8,99277141,2022年12月05日,2022年12月19日,福岡市中央区港１丁目８－３０  mapを見る,Ｍａｉｚｕｒｕ　Ｂａｙ　Ｍｉｄ　Ｓｑｕａｒｅ  1103,福岡市空港線大濠公園駅 徒歩10分 港１丁目バス停 徒歩3分 駅までmap 福岡市空港線赤坂駅 徒歩13分 駅までmap ,35.82㎡ / 約10.84坪,nan,1LDK,洋3／ＬＤＫ12, 南,nan,nan,nan,空有　1万6500円,nan,　,nan,1万5000円,無,無,nan,無,nan,無,4000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上15階建,11階部分,2005[H17]年11月,空家,相談　2022年10月6日,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 システムキッチン　 カウンターキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,南向き　,駐車場の空きについては要確認,専任媒介,nan,"
",中央
2.98,99315849,2022年12月05日,2022年12月19日,福岡市中央区荒戸１丁目11番10号  mapを見る,サンシティ大濠公園  402,福岡市空港線大濠公園駅 徒歩6分 駅までmap 福岡市空港線唐人町駅 徒歩14分 駅までmap 福岡市七隈線六本松駅 徒歩28分 駅までmap ,16.52㎡ / 約5.00坪,nan,ワンルーム,洋6,nan,nan,福岡市立舞鶴小学校　距離1437ｍ,福岡市立舞鶴中学校　距離1437ｍ,無,nan,　,nan,nan,無,無,実費,無,nan,無,無,無,有 日本エステート保証・全保連※契約者や条件によっては、内容が変更になる場合があります。,30％,有、15000円、2年、火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料15000円 ,nan,nan,水道費：2500円 / 月町費：300円 / 月安心サポート：880円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上7階建,4階部分,1987[S62]年11月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 ＩＨクッキングヒーター　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 バイク置場(屋外）　 インターネット使い放題　 全居室フローリング　 インターネット対応　 玄関収納　 シューズボックス　 全室照明付　 カーテン付　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 閑静住宅街　 外観タイル張り　 高齢者相談　,初期費用プランあります。,代理,nan,"
",中央
7.2,99298190,2022年12月05日,2022年12月19日,福岡市中央区清川３丁目4-16  mapを見る,Axis天神南　弐番館  801,西鉄天神大牟田線西鉄平尾駅 徒歩12分 駅までmap 福岡市七隈線渡辺通駅 徒歩14分 駅までmap 西鉄天神大牟田線高宮駅 徒歩22分 駅までmap ,31.5㎡ / 約9.53坪,nan,1LDK,ＬＤＫ8.5／洋3.7, 南,nan,nan,nan,空無,自走（平置きも含む）,　,nan,nan,無,2ヶ月,nan,無,nan,無,5000円,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,"家賃総額60％（更新料あり1万円） 又は100％（更新料なし）学生1万円（更新料なし） ＊最低保証料25,000円 ＊保証会社収納代行必須 ＊各プラン月額400円（引落手数料も含まれます。）",有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,nan,nan,町費：500円 / 月くらシード24M：800円 / 月保険料：800円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上9階建,8階部分,2019[H31]年4月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 カウンターキッチン　 洗面所　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 ディンプルキー　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 火災報知機　 全居室フローリング　 インターネット対応　 ダブルロックキー　 シューズボックス　 室内物干機　 敷地内ゴミ置き場　,ペット不可　 角部屋　,"□契約内容□・契約開始日より12ヶ月未満での解約は家賃2ヶ月分、　24ヶ月未満での解約は家賃1ヶ月分を申し受けます。・退去時ハウスクリーニング代として33,000円(内消費税3,000円)+故意過失による損傷損耗は実費。・連帯保証人様の極度額は賃料・共益費を合算した36ヵ月分となります。・消毒代: 16,500円(内消費税1,500円)・事務手数料: 11,000円(内消費税1,000円)　・鍵交換料: 29,700円(内消費税2,700円)・インターネット開通費：16,500円(内消費税1,500円)・保証会社: 加入要（ジェイリース）　家賃総額60％（更新料あり1万円）又は100％（更新料なし）学生1万円（更新料なし）＊保証会社収納代行必須＊各プラン月額400円（引落手数料も含まれます。）・解約予告: 1ヶ月前・更新事務手数料2年毎22,000円(内消費税2,000円)空室募集専用サイト　⇒　https://inet.bukkaku.jp/営業時間10：00～18：00店休日　日曜日　（年末年始・GW・お盆　はお休みします）",代理,髙木,"
										TEL：092-737-7051
										メールアドレス：kanri@inet-hre.com
",中央
7.4,99316412,2022年12月05日,2022年12月19日,福岡市中央区今泉１丁目9番27号  mapを見る,エステート・モア・天神  1303,福岡市七隈線天神南駅 徒歩6分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩6分 駅までmap 西鉄天神大牟田線薬院駅 徒歩7分 駅までmap ,壁芯25.52㎡ / 約7.72坪,nan,1LDK,nan, 南 6.08㎡,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,1000円,無,無,有 オリコorアプラス（初回保証料、更新保証料なし。月額1％の保証料です。）※契約者や条件によっては、内容が変更になる場合があります。,月額総支払額の1％／月,無,無,鍵交換費用：1万7160円消毒費用：9900円,nan,自転車1台につき：200円 / 月原付バイク1台につき：500円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上15階建,13階部分,2016[H28]年2月,居住中,相談　（入居中（2022年12月8日退去予定））,都市ガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 収納スペース　 床下収納　 システムキッチン　 洗面所　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 防犯カメラ　 防犯セキュリティ　 火災報知機　 エレベーター2基以上　 光ファイバー　 シューズボックス　 天袋　 敷地内ゴミ置き場　,ペット不可　 外観タイル張り　,男性は年齢制限有（25歳以上50歳未満）西鉄天神大牟田線【西鉄天神駅】徒歩6分の好立地です！街中のマンションですので、お買い物施設も近距離ですよ♪♪2口ガスコンロ（都市ガス）システムキッチンで忙しい朝も安心もちろん安心のオートロック・防犯カメラ完備しています室内はクローゼットに上部収納が有り。さらに大型床下収納付と荷物の多い女性の方に最適です！※管理費は月額請求ではなく年額１２，０００円（年１回引落）のご請求になります。※駐輪場は有料登録制です。※室内写真は同タイプの他部屋です。（現状優先）ライフメンテナンス利用可能バリュープラン・礼金アップ家賃ダウンプラン・レディースプラン　　　　　など...※お問い合わせの際は、ライフメンテナンス（092-523-7777）までお願いいたします。,代理,ライフメンテナンス,"
										TEL：092-523-7777
",中央
2.4,99261061,2022年12月06日,2022年12月20日,福岡市中央区伊崎9-1  周辺mapを見る,セイント西公園  103,福岡市空港線唐人町駅 徒歩14分 伊崎バス停 徒歩5分 福岡市空港線大濠公園駅 徒歩19分 ,22.97㎡ / 約6.95坪,nan,ワンルーム,洋 8,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,3000円,無,nan,nan,有、15000円、1年、家財（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,水道費：2600円 / 月衛生費：300円 / 月,定期借家,2年,nan,nan,nan,ＲＣ,nan,nan,地上3階建,1階部分,1989[H1]年1月,空家,即時　,エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　,nan,バス・トイレ別・角部屋西公園近くの閑静な住宅街,一般媒介,nan,"
",中央
4.2,99298189,2022年12月05日,2022年12月19日,福岡市中央区薬院３丁目9-1  mapを見る,ラグナガーデン薬院  102,西鉄天神大牟田線薬院駅 徒歩6分 駅までmap 福岡市七隈線薬院駅 徒歩6分 駅までmap 福岡市七隈線薬院大通駅 徒歩7分 駅までmap ,壁芯18.46㎡ / 約5.58坪,nan,1K,nan, 南西,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 加入要※契約者や条件によっては、内容が変更になる場合があります。,nan,有、16000円、2年、加入要（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,鍵交換代：1万6500円室内消毒代（任意）：1万1000円,nan,24時間緊急サポート：800円 / 月町費：200円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上2階建,1階部分,2004[H16]年9月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 室内洗濯機置場　 ロフト　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 バイク置場(屋外）　 シューズボックス　,ペット不可　,"・短期解約違約金（1年未満：賃料２ヶ月、2年未満：賃料1ヶ月）・24時間緊急サポート料：月額800円・鍵交換代（税別）：15,000円・室内消毒代（任意・税別）：10,000円・火災保険料：16,000円/2年・保証会社：要加入・契約更新事務手数料（税別）：10,000円/2年・照明2基はサービス設置品です。",専任媒介,nan,"
",中央
